epoch,acc,loss,lr,val_acc,val_loss
0,0.35875,1.788459780216217,0.01,0.26,9.787437553405761
1,0.43875,1.5573654210567474,0.01,0.28,6.486177101135254
2,0.49125,1.420278356075287,0.01,0.41,2.2645287895202637
3,0.54,1.326307500600815,0.01,0.44,3.5567621040344237
4,0.54375,1.2908450108766556,0.01,0.38,2.776167964935303
5,0.55,1.2694594770669938,0.01,0.56,1.223529131412506
6,0.5975,1.160399505496025,0.01,0.37,3.4580606174468995
7,0.61625,1.12757533878088,0.01,0.52,1.546338963508606
8,0.61125,1.0725879275798798,0.01,0.7,0.9636391687393189
9,0.645,1.0106337513029575,0.01,0.76,0.8195015001296997
10,0.65,0.9892234811186791,0.01,0.62,1.0746647834777832
11,0.69,0.9272354376316071,0.01,0.62,1.0849662971496583
12,0.725,0.8706191284954548,0.01,0.64,0.9904918026924133
13,0.66625,0.9343452435731888,0.01,0.59,1.1687554979324342
14,0.7,0.8833989265561104,0.01,0.68,0.8638497900962829
15,0.73625,0.8204055809974671,0.01,0.38,2.288562469482422
16,0.6875,0.8529453618824482,0.01,0.41,2.318077731132507
17,0.72,0.7922757808864117,0.01,0.74,0.7713945746421814
18,0.7225,0.8199033042788506,0.01,0.63,1.1211796188354493
19,0.7325,0.7672249116003513,0.01,0.64,1.0160627365112305
20,0.7525,0.7043685033917427,0.01,0.67,0.9224366521835328
21,0.75625,0.658677791506052,0.01,0.84,0.523416998386383
22,0.7675,0.6759276854991912,0.01,0.52,2.4328403544425963
23,0.75875,0.7301067472994327,0.01,0.76,0.576078952550888
24,0.77,0.7184393568336964,0.01,0.63,1.371527647972107
25,0.79125,0.6549732041358948,0.01,0.66,1.1935516595840454
26,0.81125,0.5967714327573777,0.01,0.51,1.857605001926422
27,0.8025,0.5663789930939674,0.01,0.64,1.449648156762123
28,0.795,0.6049238161742687,0.01,0.75,0.8703823697566986
29,0.8225,0.5290453670173884,0.01,0.66,0.861625943183899
30,0.8,0.5784112083166838,0.01,0.7,0.8676165604591369
31,0.8325,0.4998976204544306,0.01,0.75,0.8571890830993653
32,0.8375,0.5057075894251466,0.01,0.71,0.8227443075180054
33,0.86625,0.4653670465573668,0.01,0.66,1.4912907409667968
34,0.85875,0.4566695082932711,0.01,0.82,0.5616245478391647
35,0.8575,0.43230977647006513,0.01,0.74,0.8442660403251648
36,0.8375,0.4724209500476718,0.01,0.89,0.4395625436306
37,0.8425,0.43823766823858024,0.01,0.79,0.924768408536911
38,0.85375,0.40726984236389396,0.01,0.76,0.7511004048585892
39,0.8675,0.38758724376559256,0.01,0.77,0.7677137631177903
40,0.85625,0.42013173159211875,0.01,0.86,0.4107681941986084
41,0.89,0.3581299383752048,0.01,0.76,0.919578287601471
42,0.88625,0.3417943109944463,0.01,0.56,1.6842666149139405
43,0.90875,0.29660576447844506,0.01,0.83,0.5551734757423401
44,0.89125,0.3334863753244281,0.01,0.78,0.9225556874275207
45,0.90625,0.3354512565210462,0.01,0.81,0.5096830147504806
46,0.90125,0.2956036376953125,0.01,0.81,0.6709236025810241
47,0.8825,0.33931404224596917,0.01,0.81,0.5823581421375275
48,0.915,0.28449651665985587,0.01,0.73,0.9002518737316132
49,0.92125,0.23849375667050482,0.01,0.78,0.6911801707744598
50,0.9075,0.29497154905460776,0.01,0.86,0.7572405636310577
51,0.91875,0.25652478548698127,0.01,0.71,1.0815499019622803
52,0.9225,0.2633553510624915,0.01,0.79,0.5043686521053314
53,0.88625,0.3460025774408132,0.01,0.85,0.5521624131500721
54,0.95625,0.15484428249299526,0.005,0.85,0.34057538598775866
55,0.9525,0.15096062797121704,0.005,0.87,0.4068052786588669
56,0.96125,0.1450087779201567,0.005,0.87,0.2325266255810857
57,0.975,0.11277894297614693,0.005,0.97,0.128334356918931
58,0.98125,0.08848329904954881,0.005,0.94,0.2542461335659027
59,0.94375,0.17104362822137772,0.005,0.92,0.24436556309461593
60,0.96625,0.1181747660622932,0.005,0.9,0.32847421780228614
61,0.97625,0.08674993079854175,0.005,0.92,0.2527147014439106
62,0.97875,0.08798981887288392,0.005,0.87,0.303705530166626
63,0.98,0.08276032105553895,0.005,0.92,0.24299789316952228
64,0.96875,0.09732439333572984,0.005,0.88,0.3302186033129692
65,0.975,0.09047919207485393,0.005,0.84,0.4427766717225313
66,0.98125,0.07799787902738899,0.005,0.89,0.3250883027911186
67,0.98125,0.08115247604204341,0.005,0.93,0.30562470205128195
68,0.975,0.09391823729500175,0.005,0.93,0.21645224809646607
69,0.9625,0.1171501098247245,0.005,0.76,0.7469741022586822
70,0.98,0.07712388603948056,0.005,0.91,0.2707724994421005
71,0.98625,0.059718151928391305,0.005,0.9,0.29913522267714143
72,0.97625,0.0957389267347753,0.005,0.92,0.27506720047444105
73,0.97,0.10075438585132361,0.005,0.89,0.39891745656728744
74,0.98125,0.0675414886669023,0.005,0.93,0.24984025567770005
75,0.9875,0.06328291480080224,0.005,0.86,0.41882687389850615
76,0.9825,0.06132896713213995,0.0025,0.93,0.20492102329153566
77,0.98625,0.04925215976953041,0.0025,0.92,0.21128610530868172
78,0.99,0.05169767641578801,0.0025,0.93,0.19458441788330674
79,0.9825,0.05723229376366362,0.0025,0.9,0.30521557811647654
80,0.99625,0.02520258101867512,0.0025,0.92,0.1697973345592618
81,0.98875,0.038245174112962556,0.0025,0.92,0.25743084371089936
82,1.0,0.02427824397396762,0.0025,0.93,0.19876601318828763
83,0.995,0.04029558695387095,0.0025,0.92,0.23545359934680163
84,0.99375,0.04160581015865319,0.0025,0.92,0.1978925926052034
85,0.9925,0.03307868962641805,0.0025,0.92,0.14227435179054737
86,0.99375,0.03564383049379103,0.0025,0.94,0.16633890462107956
87,0.99625,0.025021772588952444,0.00125,0.93,0.16876035454217345
88,0.99625,0.028739731759997084,0.00125,0.94,0.17895496050827206
89,0.99875,0.015862801724579184,0.00125,0.93,0.21668416574131696
90,0.99125,0.035283564989222214,0.00125,0.94,0.19561255156062543
91,1.0,0.01836346154450439,0.00125,0.92,0.18961725146044045
